compound_name,target_name,gene_symbol,uniprot_id,chembl_id,target_class,probability,source
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.209711788228,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.200888069942,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Cyclooxygenase-1,PTGS1,P23219,CHEMBL221,Oxidoreductase,0.139523430439,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Testis-specific androgen-binding protein,SHBG,P04278,CHEMBL3305,Secreted protein,0.121986395249,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Metabotropic glutamate receptor 5,GRM5,P41594,CHEMBL3227,Family C G protein-coupled receptor,0.121986395249,SwissTargetPrediction
Vitexin,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,0.986941022656,SwissTargetPrediction
Vitexin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.126928723833,SwissTargetPrediction
Vitexin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.126928723833,SwissTargetPrediction
Vitexin,Equilibrative nucleoside transporter 1,SLC29A1,Q99808,CHEMBL1997,Electrochemical transporter,0.118883306718,SwissTargetPrediction
Isovitexin,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.746316193185,SwissTargetPrediction
Isovitexin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.118883306718,SwissTargetPrediction
Isovitexin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.118883306718,SwissTargetPrediction
Swertianin,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,0.265314501419,SwissTargetPrediction
Swertianin,Ornithine decarboxylase,ODC1,P11926,CHEMBL1869,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Plasminogen,PLG,P00747,CHEMBL1801,Protease,0.113285953487,SwissTargetPrediction
Swertianin,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.113285953487,SwissTargetPrediction
Swertianin,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0.113285953487,SwissTargetPrediction
Swertianin,Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Mu opioid receptor   (by homology),OPRM1,P35372,CHEMBL233,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,"Nitric oxide synthase, inducible   (by homology)",NOS2,P35228,CHEMBL4481,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,0.113285953487,SwissTargetPrediction
Swertianin,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.113285953487,SwissTargetPrediction
Swertianin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.113285953487,SwissTargetPrediction
Swertianin,Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.113285953487,SwissTargetPrediction
Swertianin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.113285953487,SwissTargetPrediction
Swertianin,Microtubule-associated protein tau,MAPT,P10636,CHEMBL1293224,Unclassified protein,0.113285953487,SwissTargetPrediction
Swertianin,Lysine-specific demethylase 4D-like,KDM4E,B2RXH2,CHEMBL1293226,Eraser,0.113285953487,SwissTargetPrediction
Swertianin,DNA topoisomerase II alpha,TOP2A,P11388,CHEMBL1806,Isomerase,0.113285953487,SwissTargetPrediction
Swertianin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.113285953487,SwissTargetPrediction
Swertianin,Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,"Myosin light chain kinase, smooth muscle",MYLK,Q15746,CHEMBL2428,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,PI3-kinase p85-alpha subunit,PIK3R1,P27986,CHEMBL2506,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,CaM kinase II beta,CAMK2B,Q13554,CHEMBL4121,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Phospholipase A2 group 1B,PLA2G1B,P04054,CHEMBL4426,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,DNA-(apurinic or apyrimidinic site) lyase,APEX1,P27695,CHEMBL5619,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Aldo-keto reductase family 1 member C2   (by homology),AKR1C2,P52895,CHEMBL5847,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Aldo-keto reductase family 1 member C1   (by homology),AKR1C1,Q04828,CHEMBL5905,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Aldo-keto-reductase family 1 member C3   (by homology),AKR1C3,P42330,CHEMBL4681,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Aldo-keto reductase family 1 member C4   (by homology),AKR1C4,P17516,CHEMBL4999,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.113285953487,SwissTargetPrediction
Swertianin,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.113285953487,SwissTargetPrediction
Swertianin,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,CHEMBL2789,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.113285953487,SwissTargetPrediction
Swertianin,DNA-3-methyladenine glycosylase,MPG,P29372,CHEMBL3396943,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.113285953487,SwissTargetPrediction
Swertianin,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,0.113285953487,SwissTargetPrediction
Swertianin,Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.113285953487,SwissTargetPrediction
Swertianin,Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,0.113285953487,SwissTargetPrediction
Swertianin,Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,0.113285953487,SwissTargetPrediction
Swertianin,Cytochrome P450 1A1,CYP1A1,P04798,CHEMBL2231,Cytochrome P450,0.113285953487,SwissTargetPrediction
Swertianin,Cytochrome P450 1A2,CYP1A2,P05177,CHEMBL3356,Cytochrome P450,0.113285953487,SwissTargetPrediction
Swertianin,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.113285953487,SwissTargetPrediction
Swertianin,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.113285953487,SwissTargetPrediction
Swertianin,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,0.113285953487,SwissTargetPrediction
Swertianin,Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.113285953487,SwissTargetPrediction
Swertianin,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.113285953487,SwissTargetPrediction
Swertianin,Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.113285953487,SwissTargetPrediction
Swertianin,Thrombopoietin receptor,MPL,P40238,CHEMBL1864,Membrane receptor,0.113285953487,SwissTargetPrediction
Swertianin,Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,0.113285953487,SwissTargetPrediction
Swertianin,Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0.113285953487,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,1.0,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.920284478491,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0.920284478491,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Quinone reductase 2,NQO2,P16083,CHEMBL3959,Enzyme,0.920284478491,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.645992714639,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Neuromedin-U receptor 2,NMUR2,Q9GZQ4,CHEMBL1075144,Family A G protein-coupled receptor,0.181232775887,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0.181232775887,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.12313842565,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.12313842565,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.12313842565,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.106542925976,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,TNF-alpha,TNF,P01375,CHEMBL1825,Secreted protein,0.106542925976,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Interleukin-2,IL2,P60568,CHEMBL5880,Secreted protein,0.106542925976,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,0.106542925976,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.106542925976,SwissTargetPrediction
Kaempferol-3-O-beta-D-glucoside,Equilibrative nucleoside transporter 1,SLC29A1,Q99808,CHEMBL1997,Electrochemical transporter,0.106542925976,SwissTargetPrediction
Mahkoside A,Epoxide hydratase,EPHX2,P34913,CHEMBL2409,Protease,0.231120270967,SwissTargetPrediction
Mahkoside A,Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.122827320367,SwissTargetPrediction
Mahkoside A,Low affinity sodium-glucose cotransporter,SLC5A4,Q9NY91,CHEMBL1770047,Electrochemical transporter,0.122827320367,SwissTargetPrediction
Mahkoside A,Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0.122827320367,SwissTargetPrediction
Mahkoside A,Solute carrier family 28 member 3,SLC28A3,Q9HAS3,CHEMBL5707,Electrochemical transporter,0.106165761464,SwissTargetPrediction
Mahkoside A,Sodium/glucose cotransporter 1,SLC5A1,P13866,CHEMBL4979,Electrochemical transporter,0.106165761464,SwissTargetPrediction
Mahkoside A,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.106165761464,SwissTargetPrediction
Mahkoside A,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.106165761464,SwissTargetPrediction
Mahkoside A,Equilibrative nucleoside transporter 1,SLC29A1,Q99808,CHEMBL1997,Electrochemical transporter,0.106165761464,SwissTargetPrediction
Mahkoside A,Steroid 5-alpha-reductase 1,SRD5A1,P18405,CHEMBL1787,Oxidoreductase,0.106165761464,SwissTargetPrediction
Mahkoside A,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.106165761464,SwissTargetPrediction
Mahkoside A,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.106165761464,SwissTargetPrediction
Mahkoside A,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.106165761464,SwissTargetPrediction
Mahkoside A,"Troponin, cardiac muscle",TNNC1 TNNT2 TNNI3,P63316 P45379 P19429,CHEMBL2095202,Unclassified protein,0.106165761464,SwissTargetPrediction
Mahkoside A,Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0.106165761464,SwissTargetPrediction
Mahkoside A,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0.106165761464,SwissTargetPrediction
Mahkoside A,Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0.106165761464,SwissTargetPrediction
Mahkoside A,Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Serine/threonine-protein kinase NEK6,NEK6,Q9HC98,CHEMBL4309,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.106165761464,SwissTargetPrediction
Mahkoside A,Histone deacetylase 10,HDAC10,Q969S8,CHEMBL5103,Eraser,0.106165761464,SwissTargetPrediction
Mahkoside A,NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,0.106165761464,SwissTargetPrediction
Apigenin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,1.0,SwissTargetPrediction
Apigenin,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,1.0,SwissTargetPrediction
Apigenin,Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,1.0,SwissTargetPrediction
Apigenin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,1.0,SwissTargetPrediction
Apigenin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,1.0,SwissTargetPrediction
Apigenin,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,1.0,SwissTargetPrediction
Apigenin,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,1.0,SwissTargetPrediction
Apigenin,Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,1.0,SwissTargetPrediction
Apigenin,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,1.0,SwissTargetPrediction
Apigenin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,1.0,SwissTargetPrediction
Apigenin,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Apigenin,Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,1.0,SwissTargetPrediction
Apigenin,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,1.0,SwissTargetPrediction
Apigenin,Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,1.0,SwissTargetPrediction
Apigenin,Adenosine A2a receptor   (by homology),ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Apigenin,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,1.0,SwissTargetPrediction
Apigenin,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,1.0,SwissTargetPrediction
Apigenin,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,1.0,SwissTargetPrediction
Apigenin,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,1.0,SwissTargetPrediction
Apigenin,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,1.0,SwissTargetPrediction
Apigenin,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,1.0,SwissTargetPrediction
Apigenin,Cystic fibrosis transmembrane conductance regulator,CFTR,P13569,CHEMBL4051,Other ion channel,1.0,SwissTargetPrediction
Apigenin,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,1.0,SwissTargetPrediction
Apigenin,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,1.0,SwissTargetPrediction
Apigenin,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,1.0,SwissTargetPrediction
Apigenin,Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,1.0,SwissTargetPrediction
Apigenin,Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,1.0,SwissTargetPrediction
Apigenin,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.600253483442,SwissTargetPrediction
Apigenin,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.600253483442,SwissTargetPrediction
Apigenin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.559044784358,SwissTargetPrediction
Apigenin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.559044784358,SwissTargetPrediction
Apigenin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.559044784358,SwissTargetPrediction
Apigenin,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.559044784358,SwissTargetPrediction
Apigenin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.485540261393,SwissTargetPrediction
Apigenin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.477439841725,SwissTargetPrediction
Apigenin,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.411906406077,SwissTargetPrediction
Apigenin,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,0.370888463379,SwissTargetPrediction
Apigenin,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.370888463379,SwissTargetPrediction
Apigenin,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.370888463379,SwissTargetPrediction
Apigenin,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.370888463379,SwissTargetPrediction
Apigenin,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.370888463379,SwissTargetPrediction
Apigenin,Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.370888463379,SwissTargetPrediction
Apigenin,DNA topoisomerase I   (by homology),TOP1,P11387,CHEMBL1781,Isomerase,0.370888463379,SwissTargetPrediction
Apigenin,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.370888463379,SwissTargetPrediction
Apigenin,Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,0.354464973753,SwissTargetPrediction
Apigenin,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.329868485421,SwissTargetPrediction
